word,pos,freq
be,v,12545825
have,v,4303955
do,v,2573587
say,v,1915138
go,v,1151045
can,v,1022775
get,v,992596
would,v,925515
make,v,857168
know,v,892535
will,v,824568
up,r,795534
time,n,764657
year,n,769254
so,r,756550
think,v,772787
people,n,691468
take,v,670745
out,r,678603
just,r,677711
see,v,663645
come,v,628254
could,v,617932
now,r,605997
other,a,547799
how,r,538893
then,r,543977
more,r,517536
want,v,514972
way,n,470401
look,v,491707
also,r,464606
new,a,435993
day,n,432773
use,v,420781
man,n,409760
find,v,395203
here,r,412315
thing,n,400724
give,v,384503
well,r,411776
only,r,379574
tell,v,388155
very,r,391821
even,r,361067
back,r,367844
good,a,353973
woman,n,341422
life,n,333085
child,n,333849
there,r,333433
work,v,318210
down,r,329409
may,v,324569
should,v,310265
call,v,308050
world,n,303506
school,n,304183
still,r,296953
try,v,294023
in,r,285035
as,r,281483
ask,v,284632
need,v,276744
too,r,280396
feel,v,275214
when,r,268219
state,n,272193
never,r,262584
become,v,259102
high,a,255936
really,r,263414
most,r,246360
family,n,243267
leave,v,240482
put,v,237480
old,a,236577
mean,v,242198
on,r,236980
keep,v,231760
student,n,255047
why,r,235442
let,v,240300
great,a,225005
big,a,227169
group,n,229435
begin,v,218617
seem,v,219627
country,n,223138
help,v,216082
talk,v,229429
turn,v,221392
problem,n,217728
start,v,213952
hand,n,225247
might,v,209059
American,a,214968
show,v,208037
part,n,207861
about,r,208550
place,n,202427
over,r,208260
again,r,206895
case,n,200773
week,n,199268
company,n,203345
where,r,194427
system,n,200175
right,r,205250
program,n,195985
hear,v,196070
question,n,192070
work,n,187533
play,v,188328
government,n,191314
run,v,187325
small,a,185463
number,n,186005
off,r,183854
always,r,179474
move,v,179388
like,v,182341
night,n,184511
live,v,176144
Mr,n,188555
point,n,177481
believe,v,178397
hold,v,177368
today,r,183724
bring,v,174366
happen,v,182714
large,a,175611
all,r,177317
must,v,171043
home,n,170527
water,n,167666
room,n,172472
write,v,161824
mother,n,169407
area,n,165812
national,a,166359
money,n,164794
story,n,163582
young,a,160011
fact,n,164401
month,n,162685
different,a,162411
lot,n,169570
right,n,163259
study,n,174069
book,n,154013
eye,n,169150
job,n,154743
word,n,152891
business,n,154468
issue,n,156417
side,n,152559
kind,n,155032
head,n,160131
far,r,148621
black,a,150718
long,a,149050
little,a,149658
house,n,149251
long,r,142007
provide,v,150879
service,n,146122
friend,n,142697
important,a,144194
father,n,145051
sit,v,147185
away,r,144713
power,n,141357
hour,n,138955
game,n,146311
often,r,140731
yet,r,135484
line,n,135986
political,a,144437
end,n,134104
ever,r,135774
stand,v,140937
bad,a,134910
lose,v,134102
however,r,142282
member,n,134731
pay,v,133133
law,n,133706
meet,v,128737
car,n,133571
city,n,132684
almost,r,127907
include,v,133563
continue,v,126029
set,v,127369
later,r,126495
community,n,133057
much,r,126029
name,n,127139
once,r,126203
white,a,126760
least,r,123961
president,n,134203
learn,v,124346
real,a,124187
change,v,123183
team,n,131489
minute,n,126660
best,a,124850
idea,n,122140
kid,n,126428
body,n,125165
information,n,127331
ago,r,125252
right,a,126278
lead,v,122691
social,a,132899
understand,v,121354
back,n,125006
watch,v,124976
together,r,119186
follow,v,119425
around,r,122789
parent,n,119610
only,a,117700
stop,v,121481
face,n,127291
create,v,119419
public,a,119825
already,r,115220
speak,v,117358
others,n,115771
read,v,114094
level,n,121704
allow,v,114892
add,v,117842
office,n,114791
spend,v,114569
door,n,124993
health,n,117762
person,n,113650
art,n,117851
sure,a,116186
war,n,117804
history,n,114904
party,n,112962
grow,v,110020
result,n,116277
open,v,111857
change,n,112426
morning,n,114002
walk,v,113787
reason,n,106863
low,a,108990
win,v,111478
research,n,114802
girl,n,110409
guy,n,110409
early,a,108171
food,n,107728
moment,n,109720
air,n,105932
teacher,n,116100
force,n,108005
offer,v,106473
enough,r,105880
both,r,106361
education,n,113731
remember,v,106879
foot,n,107285
boy,n,107447
maybe,r,108421
able,a,103171
age,n,103402
policy,n,107601
love,v,103681
process,n,107341
music,n,102657
consider,v,101987
appear,v,100671
actually,r,105155
buy,v,101105
probably,r,99754
human,a,101224
wait,v,102463
serve,v,99660
market,n,100435
die,v,98376
send,v,96613
expect,v,95566
home,r,97937
sense,n,95896
build,v,96651
stay,v,96933
fall,v,96908
nation,n,97212
plan,n,95824
cut,v,96012
college,n,97038
interest,n,96620
death,n,93222
course,r,96224
experience,n,98106
reach,v,92375
local,a,92970
kill,v,92660
remain,v,91319
effect,n,95216
use,n,96564
suggest,v,92643
class,n,91323
control,n,90301
raise,v,87036
care,n,88862
perhaps,r,87060
little,r,88697
late,a,86421
hard,a,86817
field,n,87243
else,r,87876
pass,v,86184
sell,v,87865
major,a,87487
sometimes,r,84845
require,v,89280
development,n,91995
report,v,88138
role,n,88666
better,a,83895
economic,a,90392
effort,n,86473
decide,v,84035
rate,n,87224
strong,a,83677
possible,a,85084
heart,n,84536
drug,n,86231
show,n,86828
leader,n,85438
light,n,87427
voice,n,89379
wife,n,83601
whole,a,83756
police,n,85880
mind,n,82808
finally,r,81951
pull,v,87243
return,v,81812
free,a,82090
military,a,85152
price,n,84443
report,n,83174
less,r,82930
decision,n,82429
explain,v,80797
son,n,80895
hope,v,81385
develop,v,84835
view,n,81338
relationship,n,84549
carry,v,79513
town,n,79821
road,n,80987
drive,v,80476
arm,n,84865
TRUE,a,79299
federal,a,81826
break,v,79310
better,r,78334
difference,n,82911
thank,v,88574
receive,v,80250
value,n,82942
international,a,81610
building,n,78487
action,n,80009
full,a,77547
model,n,82973
join,v,80609
season,n,83743
society,n,81192
tax,n,80713
director,n,79813
early,r,75605
position,n,77124
player,n,81358
agree,v,76753
especially,r,76304
record,n,77509
pick,v,77197
wear,v,77921
paper,n,75383
special,a,75298
space,n,75395
ground,n,74713
form,n,78493
support,v,76544
event,n,75559
official,n,79026
matter,n,73842
center,n,74559
couple,n,74871
site,n,75932
end,v,73099
project,n,75446
hit,v,73999
base,v,75887
activity,n,77980
star,n,73695
table,n,75228
need,n,74877
court,n,74112
produce,v,74169
eat,v,73505
American,n,73063
teach,v,72668
oil,n,74386
situation,n,72603
easy,a,71602
cost,n,73512
industry,n,73055
figure,n,74858
face,v,69493
street,n,71645
image,n,72216
phone,n,71599
either,r,69497
data,n,76594
cover,v,69387
quite,r,69966
picture,n,69229
clear,a,68662
practice,n,73745
piece,n,68901
land,n,69750
recent,a,70685
describe,v,71377
product,n,70883
doctor,n,69446
wall,n,71390
patient,n,72217
worker,n,69962
news,n,70051
test,n,69870
movie,n,69387
certain,a,67228
north,n,68046
love,n,67495
personal,a,67917
open,a,67218
support,n,69431
simply,r,66712
technology,n,69565
catch,v,68214
step,n,66232
baby,n,67881
computer,n,67399
type,n,68481
attention,n,65271
draw,v,65198
film,n,66724
Republican,n,71611
tree,n,66630
source,n,66862
red,a,66217
nearly,r,64860
organization,n,67278
choose,v,64348
cause,v,64531
hair,n,69564
look,n,66194
point,v,62980
century,n,65667
evidence,n,65360
window,n,68303
difficult,a,63947
listen,v,64984
soon,r,63168
culture,n,67128
chance,n,62682
brother,n,63406
energy,n,64139
period,n,64534
course,n,64012
summer,n,62503
realize,v,61732
available,a,63187
plant,n,63476
likely,a,63002
opportunity,n,62422
term,n,62962
short,a,60451
letter,n,60369
condition,n,63489
choice,n,60487
place,v,60927
single,a,60072
rule,n,61062
daughter,n,60424
administration,n,62071
south,n,60630
husband,n,60126
Congress,n,62841
floor,n,62458
campaign,n,64172
material,n,62440
population,n,62999
call,n,59543
economy,n,60990
medical,a,59424
hospital,n,58669
church,n,59466
close,v,60884
risk,n,60432
current,a,61252
fire,n,59386
future,n,58020
wrong,a,58988
involve,v,59542
defense,n,59701
increase,v,60442
security,n,58914
bank,n,58992
certainly,r,59739
west,n,58169
sport,n,59006
board,n,58436
seek,v,58495
subject,n,61397
officer,n,57617
private,a,57248
rest,n,56714
behavior,n,62625
deal,v,57462
performance,n,59909
fight,v,56886
throw,v,57784
top,n,57743
quickly,r,56454
past,a,56588
goal,n,58728
second,n,56022
bed,n,60304
order,n,56483
author,n,58300
fill,v,56915
represent,v,58744
focus,v,57177
foreign,a,57540
drop,v,56448
plan,v,55829
blood,n,56351
agency,n,56954
push,v,56103
nature,n,57929
color,n,56978
no,r,54602
recently,r,55992
store,n,56147
reduce,v,57029
sound,n,56828
note,v,57025
fine,a,55174
before,r,55608
movement,n,56201
page,n,55937
enter,v,54479
share,v,54010
common,a,55940
poor,a,53820
natural,a,55526
race,n,54838
concern,n,55203
series,n,54549
significant,a,58947
similar,a,55901
hot,a,54601
language,n,55799
usually,r,53477
response,n,56342
dead,a,55111
rise,v,53542
animal,n,53127
factor,n,57612
decade,n,53727
article,n,54871
shoot,v,53038
east,n,53010
save,v,52067
artist,n,54353
scene,n,51248
stock,n,54305
career,n,52101
central,a,52501
thus,r,57039
treatment,n,53390
happy,a,51669
exactly,r,52685
protect,v,50649
approach,n,53980
lie,v,51657
size,n,51868
dog,n,52347
fund,n,53859
serious,a,50285
occur,v,52768
media,n,51798
ready,a,50833
sign,n,50045
thought,n,51509
list,n,50678
individual,n,54738
simple,a,50583
quality,n,52224
pressure,n,50773
accept,v,49952
answer,n,49969
hard,r,50793
resource,n,53398
identify,v,53484
left,a,50479
meeting,n,49916
determine,v,52130
prepare,v,49208
disease,n,51211
success,n,50541
argue,v,51013
cup,n,53633
particularly,r,50329
amount,n,49944
ability,n,51476
staff,n,50177
recognize,v,50042
indicate,v,53215
character,n,49530
growth,n,50904
loss,n,49759
degree,n,50612
wonder,v,50875
attack,n,50898
region,n,50914
television,n,49673
box,n,49667
TV,n,49438
training,n,49997
pretty,r,50385
trade,n,49696
deal,n,48975
election,n,51322
physical,a,51451
lay,v,49358
general,a,49657
feeling,n,47349
standard,n,49876
bill,n,49011
message,n,47533
fail,v,47503
arrive,v,47435
analysis,n,53840
benefit,n,48594
name,v,47375
sex,n,47827
forward,r,47877
lawyer,n,47853
present,v,49659
section,n,49764
environmental,a,51192
glass,n,49686
answer,v,47661
skill,n,50431
sister,n,48183
PM,r,54765
professor,n,46575
operation,n,47276
financial,a,47803
crime,n,48010
stage,n,46346
ok,r,54697
compare,v,48094
authority,n,47309
miss,v,46525
design,n,48605
sort,n,47086
one,n,45596
act,v,45648
knowledge,n,50335
gun,n,47305
station,n,46299
blue,a,47622
state,v,47977
strategy,n,49126
clearly,r,45912
discuss,v,46852
indeed,r,46184
force,v,44931
truth,n,45155
song,n,45352
example,n,47134
democratic,a,47299
check,v,45760
environment,n,47807
leg,n,47477
dark,a,47565
public,n,45684
various,a,46777
rather,r,44934
laugh,v,48567
guess,v,48046
executive,n,47338
set,n,45121
study,v,44897
prove,v,44304
hang,v,46632
entire,a,43997
rock,n,45225
design,v,45946
forget,v,45571
claim,v,44259
note,n,44720
remove,v,44683
manager,n,46187
help,n,43721
close,a,43568
sound,v,45311
enjoy,v,44020
network,n,45122
legal,a,44820
religious,a,46425
cold,a,44649
form,v,44646
final,a,43589
main,a,43707
science,n,45726
green,a,44673
memory,n,43531
card,n,43605
seat,n,44404
cell,n,44831
establish,v,45921
nice,a,44792
trial,n,44489
expert,n,43898
that,r,43359
spring,n,44085
firm,n,44704
Democrat,n,46905
radio,n,43156
visit,v,42941
management,n,45112
care,v,42978
avoid,v,42890
imagine,v,43487
tonight,r,47549
huge,a,42582
ball,n,43512
close,r,42826
finish,v,43143
talk,n,43267
theory,n,45553
impact,n,43782
respond,v,42139
statement,n,42941
maintain,v,43493
charge,n,42353
popular,a,42399
traditional,a,43681
reveal,v,42605
direction,n,41280
weapon,n,43158
employee,n,42824
cultural,a,45673
contain,v,42542
peace,n,42273
head,v,41658
control,v,41771
base,n,41154
pain,n,41350
apply,v,42391
play,n,41662
measure,n,43938
wide,a,41233
shake,v,45160
fly,v,41373
interview,n,41594
manage,v,40536
chair,n,43256
fish,n,41488
particular,a,42291
camera,n,41218
structure,n,43638
politics,n,41758
perform,v,41667
bit,n,41915
weight,n,41919
suddenly,r,43382
discover,v,40489
candidate,n,43251
top,a,41484
production,n,42052
treat,v,40264
trip,n,40423
evening,n,40881
affect,v,41496
conference,n,40643
unit,n,41087
best,r,39959
style,n,40889
adult,n,40705
worry,v,40210
range,n,41326
mention,v,39815
far,a,39967
deep,a,40126
past,n,39559
edge,n,40960
individual,a,42325
specific,a,42397
writer,n,39666
trouble,n,39659
necessary,a,40776
challenge,n,40380
fear,n,38857
shoulder,n,42843
institution,n,42153
middle,a,40402
sea,n,39516
dream,n,39613
bar,n,39853
beautiful,a,40052
property,n,40027
instead,r,39051
improve,v,40214
stuff,n,40180
detail,n,38750
method,n,42667
sign,v,39418
magazine,n,39197
hotel,n,39642
soldier,n,39552
reflect,v,40687
heavy,a,39160
sexual,a,41865
cause,n,38843
bag,n,40007
heat,n,40363
fall,n,38822
marriage,n,38517
tough,a,39600
sing,v,38575
surface,n,39367
purpose,n,40084
exist,v,39341
pattern,n,40397
skin,n,39893
agent,n,38265
owner,n,39492
machine,n,38407
gas,n,38194
ahead,r,39705
generation,n,38323
commercial,a,40608
address,v,39774
cancer,n,39407
test,v,38644
item,n,40336
reality,n,38397
coach,n,40716
step,v,39356
Mrs,n,40545
yard,n,39253
beat,v,38268
violence,n,38474
total,a,38798
tend,v,38295
investment,n,38810
discussion,n,39616
finger,n,40842
garden,n,38800
notice,v,38910
collection,n,38431
modern,a,38372
task,n,39209
partner,n,37540
positive,a,39310
civil,a,37742
kitchen,n,39332
consumer,n,38079
shot,n,37505
budget,n,39165
wish,v,37532
painting,n,39264
scientist,n,37700
safe,a,36547
agreement,n,38141
capital,n,37443
mouth,n,40200
victim,n,36878
newspaper,n,37522
threat,n,37022
responsibility,n,37084
smile,v,41473
attorney,n,37959
score,n,39294
account,n,36786
interesting,a,37473
break,n,40348
audience,n,36227
rich,a,35940
dinner,n,37156
figure,v,36137
vote,n,39464
western,a,37389
relate,v,39143
travel,v,35746
debate,n,37228
prevent,v,36421
citizen,n,36408
majority,n,36758
born,v,35352
admit,v,35143
senior,a,36598
assume,v,35960
wind,n,36478
key,a,36056
professional,a,36319
mission,n,35217
fast,r,35474
alone,r,34982
customer,n,36000
suffer,v,34675
speech,n,35504
successful,a,35459
option,n,35434
participant,n,41462
southern,a,35314
fresh,a,35974
eventually,r,34534
forest,n,35429
video,n,35230
global,a,36381
Senate,n,36809
reform,n,36103
access,n,35310
restaurant,n,35898
judge,n,35464
publish,v,35062
cost,v,34941
relation,n,36963
release,v,34301
own,v,34577
bird,n,34835
opinion,n,34501
credit,n,34578
critical,a,35824
corner,n,35496
concerned,a,34331
recall,v,34442
version,n,34456
stare,v,39266
safety,n,34188
effective,a,35851
neighborhood,n,34691
original,a,34368
act,n,34104
troop,n,36001
income,n,34925
directly,r,34090
hurt,v,34445
species,n,35804
immediately,r,33067
track,n,33788
basic,a,34788
strike,v,33238
hope,n,33019
sky,n,35141
freedom,n,34174
absolutely,r,36740
plane,n,33900
achieve,v,35166
object,n,35040
attitude,n,35437
labor,n,34400
refer,v,34317
concept,n,35944
client,n,34027
powerful,a,33151
perfect,a,33456
therefore,r,35842
conduct,v,34909
announce,v,33305
conversation,n,33046
examine,v,35826
touch,v,34737
please,r,34709
attend,v,33380
completely,r,32550
vote,v,35224
variety,n,34242
sleep,v,34801
turn,n,32944
involved,a,33428
investigation,n,33849
nuclear,a,34264
researcher,n,34742
press,n,33410
conflict,n,34710
spirit,n,32942
experience,v,34009
replace,v,32688
British,a,32929
encourage,v,33348
argument,n,33394
by,r,32560
camp,n,32659
brain,n,32852
feature,n,33344
afternoon,n,33202
AM,r,34451
weekend,n,33239
possibility,n,32466
along,r,32475
insurance,n,32928
department,n,32252
battle,n,31989
beginning,n,31866
date,n,31467
generally,r,33191
African,a,34557
very,a,31807
sorry,a,34270
crisis,n,32924
complete,v,32813
fan,n,32919
stick,v,32259
define,v,33958
easily,r,31755
through,r,31838
hole,n,32302
element,n,33053
vision,n,32358
status,n,33511
normal,a,31265
Chinese,a,32334
ship,n,32588
solution,n,32052
stone,n,32531
slowly,r,33403
scale,n,34375
bit,r,32087
university,n,33000
introduce,v,31345
driver,n,31633
attempt,n,31944
park,n,32322
spot,n,31612
lack,n,32157
ice,n,31686
boat,n,32079
drink,v,32078
sun,n,32646
front,a,32087
distance,n,31380
wood,n,31801
handle,v,30634
truck,n,31536
return,n,31058
mountain,n,31322
survey,n,32784
supposed,a,31005
tradition,n,32110
winter,n,31227
village,n,30741
Soviet,a,36193
refuse,v,30173
sales,n,32145
roll,v,31592
communication,n,31577
run,n,31325
screen,n,30758
gain,v,30667
resident,n,31836
hide,v,31098
gold,n,30733
club,n,30800
future,a,31494
farm,n,30291
potential,a,31289
increase,n,31247
middle,n,30199
European,a,31455
presence,n,30624
independent,a,31044
district,n,31327
shape,n,30396
reader,n,31442
Ms,n,31610
contract,n,30906
crowd,n,30542
Christian,a,30726
express,v,30947
apartment,n,31012
willing,a,29635
strength,n,29769
previous,a,30490
band,n,29769
obviously,r,31299
horse,n,30993
interested,a,29155
target,n,29866
prison,n,30248
ride,v,30476
guard,n,30159
demand,n,30519
reporter,n,30416
deliver,v,29169
text,n,32316
share,n,30752
tool,n,30286
wild,a,29473
vehicle,n,29421
observe,v,30737
flight,n,29535
inside,r,30715
facility,n,30107
understanding,n,31319
average,a,29717
emerge,v,29496
advantage,n,29340
quick,a,29108
light,a,29731
leadership,n,30047
earn,v,29560
pound,n,29946
basis,n,30377
bright,a,29780
operate,v,29345
guest,n,29328
sample,n,32436
contribute,v,30090
tiny,a,29756
block,n,28826
protection,n,29336
settle,v,28827
feed,v,28494
collect,v,28946
additional,a,29771
while,n,29579
highly,r,29554
identity,n,31163
title,n,29210
mostly,r,28178
lesson,n,28623
faith,n,28710
river,n,28862
promote,v,29679
living,n,28736
present,a,30645
count,v,28836
marry,v,28722
tomorrow,r,30098
technique,n,29828
path,n,28344
ear,n,29597
shop,n,28589
folk,n,28698
order,v,27950
principle,n,30011
survive,v,27682
lift,v,29354
border,n,28636
competition,n,28752
jump,v,28504
gather,v,27659
limit,v,28901
fit,v,27875
